,id,title,original_title,homepage,original_language,overview,tagline,popularity,release_date,runtime,status,vote_count,vote_average,budget,revenue
3236,15121,The Sound of Music,The Sound of Music,,en,Film adaptation of a classic Rodgers and Hammerstein musical based on a nun who becomes a governess for an Austrian family.,The happiest sound in all the world!,37.960289,1965/3/2,174,Released,941,7.4,8200000,286214286
228,75612,Oblivion,Oblivion,https://www.uphe.com/movies/oblivion,en,"Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",Earth is a memory worth fighting for,67.698004,2013/4/10,124,Released,4800,6.4,120000000,286168572
222,68724,Elysium,Elysium,,en,"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes (Jodie Foster), a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max (Matt Damon) is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.",He can save us all.,67.33767,2013/8/7,109,Released,3439,6.4,115000000,286140700
164,944,Lethal Weapon 4,Lethal Weapon 4,,en,"In the combustible action franchise's final installment, maverick detectives Martin Riggs and Roger Murtaugh square off against Asian mobster Wah Sing Ku, who's up to his neck in slave trading and counterfeit currency. With help from gumshoe Leo Getz and smart-aleck rookie cop Lee Butters, Riggs and Murtaugh aim to take down Ku and his gang.",The faces you love. The action you expect.,24.855701,1998/7/10,127,Released,767,6.3,140000000,285444603
690,497,The Green Mile,The Green Mile,http://thegreenmile.warnerbros.com/,en,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",Miracles do happen.,103.698022,1999/12/10,189,Released,4048,8.2,60000000,284600000
4,49529,John Carter,John Carter,http://movies.disney.com/john-carter,en,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","Lost in our world, found in another.",43.926995,2012/3/7,132,Released,2124,6.1,260000000,284139100
177,77950,Turbo,Turbo,http://www.turbomovie.com/,en,The tale of an ordinary garden snail who dreams of winning the Indy 500.,SLO NO MO,44.765377,2013/7/11,96,Released,1074,6.1,135000000,282570682
1831,634,Bridget Jones's Diary,Bridget Jones's Diary,,en,"A chaotic Bridget Jones meets a snobbish lawyer, and he soon enters her world of imperfections.",Health Warning: Adopting Bridget's lifestyle could seriously damage your health.,35.310712,2001/4/13,97,Released,1356,6.5,25000000,281929795
428,364,Batman Returns,Batman Returns,,en,"Having defeated the Joker, Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society. Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light. Selina Kyle, Max's secretary, is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman. Batman must attempt to clear his name, all the time deciding just what must be done with the Catwoman.","The Bat, the Cat, the Penguin.",59.113174,1992/6/19,126,Released,1673,6.6,80000000,280000000
295,37710,The Tourist,The Tourist,http://thetourist-movie.com/,en,"American tourist Frank (Johnny Depp) meets mysterious British woman Elsie (Angelina Jolie) on the train to Venice. Romance seems to bud, but there's more to her than meets the eye. Remake of the 2005 French film ""Anthony Zimmer"", written and directed by Jérôme Salle.",It all started when he met a woman,41.426678,2010/12/8,103,Released,1699,6,100000000,278731369
568,7451,xXx,xXx,http://www.sonypictures.com/movies/xxx/,en,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",A New Breed Of Secret Agent.,46.217769,2002/8/9,124,Released,1424,5.8,70000000,277448382
209,49040,The Bourne Legacy,The Bourne Legacy,http://www.thebournelegacy.com/,en,"New CIA operative, Aaron Cross experiences life-or-death stakes that have been triggered by the previous actions of Jason Bourne.",There Was Never Just One,90.33681,2012/8/8,120,Released,2651,6,130000000,276572938
414,9637,Scooby-Doo,Scooby-Doo,,en,"The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways.",Get a Clue,31.435539,2002/6/14,88,Released,820,5.4,84000000,275650703
633,72976,Lincoln,Lincoln,,en,"A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.","With the moral courage and fierce determination to succeed, his choices will change the fate of generations to come.",36.307296,2012/11/9,149,Released,1429,6.7,65000000,275293450
2294,129,Spirited Away,千と千尋の神隠し,http://movies.disney.com/spirited-away,ja,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,The tunnel led Chihiro to a mysterious town...,118.968562,2001/7/20,125,Released,3840,8.3,15000000,274925095
332,1995,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,,en,"English aristocrat Lara Croft is skilled in hand-to-hand combat and in the middle of a battle with a secret society. The shapely archaeologist moonlights as a tomb raider to recover lost antiquities and meets her match in the evil Powell, who's in search of a powerful relic.",Born into Wealth. Groomed by the Elite. Trained for Combat.,41.498631,2001/6/11,100,Released,2192,5.7,115000000,274703340
424,27578,The Expendables,The Expendables,http://expendablesthemovie.com/,en,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert, heavy weapons specialist, demolitionist, and a loose-cannon sniper. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",Choose Your Weapon.,77.580661,2010/8/3,103,Released,2926,6,80000000,274470394
902,9390,Jerry Maguire,Jerry Maguire,,en,"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.",Everybody loved him... Everybody disappeared.,27.039636,1996/12/6,139,Released,913,6.7,50000000,273552592
186,8961,Bad Boys II,Bad Boys II,,en,"Out-of-control, trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Marcus discovers that playboy Mike is secretly romancing Marcus�?sexy sister.","If you can't stand the heat, get out of Miami.",38.068736,2003/7/18,147,Released,1564,6.3,130000000,273339556
144,82703,Mr. Peabody & Sherman,Mr. Peabody & Sherman,,en,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-travel machine is stolen and moments in history begin to be changed.",He's Leaving His Mark On History,38.73494,2014/2/7,92,Released,843,6.7,145000000,272912430
2091,274,The Silence of the Lambs,The Silence of the Lambs,,en,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",To enter the mind of a killer she must challenge the mind of a madman.,18.174804,1991/2/1,119,Released,4443,8.1,19000000,272742922
520,38365,Grown Ups,Grown Ups,http://www.grownups-movie.com/,en,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Boys will be boys. . . some longer than others.,38.864027,2010/6/24,102,Released,1705,6,80000000,271430189
1116,37233,The Firm,The Firm,,en,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",Power can be murder to resist.,23.736535,1993/6/30,154,Released,501,6.6,42000000,270248367
1340,138832,We're the Millers,We're the Millers,http://werethemillers.warnerbros.com,en,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,#NAME?,100.348805,2013/8/7,110,Released,2972,6.8,37000000,269994119
1813,13223,Gran Torino,Gran Torino,http://www.thegrantorino.com/,en,"Walt Kowalski is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him. Kowalski is a grumpy, tough-minded, unhappy old man who can't get along with either his kids or his neighbors. He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbor Thao, a young Hmong teenager under pressure from his gang member cousin, tries to steal his Gran Torino, Kowalski sets out to reform the youth. Drawn against his will into the life of Thao's family, Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood.",Ever come across somebody you shouldn't have messed with?,50.7453,2008/12/9,116,Released,3086,7.8,33000000,269958228
294,116711,Epic,Epic,,en,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world -- and ours.,Discover a world beyond your imagination,36.711378,2013/5/15,102,Released,1121,6.4,100000000,268426634
2312,195589,Neighbors,Neighbors,,en,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.,Family vs. Frat,36.471231,2014/5/8,96,Released,2713,6.2,18000000,268157400
157,147441,Exodus: Gods and Kings,Exodus: Gods and Kings,http://www.exodusgodsandkings.com/,en,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.","Once brothers, now enemies.",101.599427,2014/12/3,150,Released,1921,5.6,140000000,268031828
4441,3170,Bambi,Bambi,http://movies.disney.com/bambi,en,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",A great love story.,47.651878,1942/8/14,70,Released,1405,6.8,858000,267447150
269,10198,The Princess and the Frog,The Princess and the Frog,http://disney.go.com/disneypictures/princessandthefrog/,en,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to do face the same problem after she kisses him.",Every Love Story Begins With a Kiss...,62.479574,2009/12/8,97,Released,1247,6.7,105000000,267045765
438,6964,Something's Gotta Give,Something's Gotta Give,,en,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother, Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",Schmucks are people too.,16.939441,2003/12/12,128,Released,410,6.3,80000000,266728738
2400,241254,The Prince,The Prince,,en,A family man who turns out to be a retired mob enforcer must travel across the country to find his daughter who has gone missing.,Mercy is for the Weak,21.638673,2014/8/22,93,Released,218,4.6,18000000,266586800
281,4982,American Gangster,American Gangster,http://www.americangangster.net/,en,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Based on a true story.",There are two sides to the American dream,42.361215,2007/11/2,157,Released,1502,7.4,100000000,266465037
75,9804,Waterworld,Waterworld,,en,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' �?which is tattooed on Enola's back.",Beyond the horizon lies the secret to a new beginning.,44.640292,1995/7/28,135,Released,992,5.9,175000000,264218220
697,37165,The Truman Show,The Truman Show,,en,"Truman Burbank is the star of ""The Truman Show"", a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor, paid to be part of his life.",On the air. Unaware.,56.488027,1998/6/4,103,Released,4537,7.8,60000000,264118201
350,4327,Charlie's Angels,Charlie's Angels,,en,"Aspects of this take on the 1970s hit TV series are similar to the original show :Angels Dylan, Natalie and Alex still work for Charlie and interface with Bosley. They still flip their hair, stop traffic with a smile and kick butt. The differences are the unsubtle humor, the martial arts training and the high-tech premise: This time, they're hot on the trail of stolen software.",Get Some Action,40.20395,2000/11/2,98,Released,1232,5.6,92000000,264105545
322,18,The Fifth Element,The Fifth Element,,en,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",There is no future without it.,109.528572,1997/5/7,126,Released,3885,7.3,90000000,263920180
227,37834,Knight and Day,Knight and Day,http://www.knightanddaymovie.com,en,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one �?even themselves �?are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",Every Hit Man Deserves a Second Shot!,44.906918,2010/6/15,109,Released,1547,5.9,117000000,261930431
2315,496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,http://www.boratmovie.com/,en,"Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture.","Come to Kazakhstan, it's nice!",29.487784,2006/11/1,82,Released,1579,6.5,18000000,261572744
207,861,Total Recall,Total Recall,,en,"Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.","They stole his mind, now he wants it back.",43.129703,1990/6/1,113,Released,1710,7.1,65000000,261317921
441,9928,Robots,Robots,,en,"Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams �?and those of his friends �?are in danger of becoming obsolete.",You can shine no matter what you're made of.,29.558157,2005/3/10,91,Released,1333,6,75000000,260696994
908,37686,Super 8,Super 8,http://www.super8-movie.com/,en,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",It Arrives.,37.069253,2011/6/8,112,Released,2435,6.6,50000000,260095987
842,116149,Paddington,Paddington,http://www.paddington.com/,en,"A young Peruvian bear with a passion for all things British travels to London in search of a home. Finding himself lost and alone at Paddington Station, he begins to realize that city life is not all he had imagined - until he meets the kindly Brown family, who read the label around his neck ('Please look after this bear. Thank you.') and offer him a temporary haven. It looks as though his luck has changed until this rarest of bears catches the eye of a museum taxidermist...",The Adventure Begins,39.882276,2014/11/27,95,Released,883,7,55000000,259207227
219,9471,Charlie's Angels: Full Throttle,Charlie's Angels: Full Throttle,,en,"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",This summer the Angels are back.,33.616115,2003/6/27,106,Released,914,5.2,120000000,259175788
512,8909,Wanted,Wanted,http://www.wantedmovie.com/,en,"Doormat Wesley Gibson discovers that his recently murdered father �?who Wesley never knew �?belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.",Choose your destiny.,73.82289,2008/6/19,110,Released,2528,6.4,75000000,258270008
58,5174,Rush Hour 3,Rush Hour 3,,en,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",The Rush Is On!,22.57178,2007/8/8,91,Released,783,6.1,140000000,258022233
3824,9427,The Full Monty,The Full Monty,,en,"Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.",The year's most revealing comedy.,17.002623,1997/8/13,91,Released,363,6.8,3500000,257850122
562,6947,The Village,The Village,,en,"When a willful young man tries to venture beyond his sequestered Pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever.",There is no turning back,27.491891,2004/7/30,108,Released,1071,6.2,60000000,256697520
909,462,Erin Brockovich,Erin Brockovich,http://www.brockovich.com/movie.html,en,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",She brought a small town to its feet and a huge corporation to its knees.,30.347332,2000/3/17,131,Released,716,7.1,52000000,256271286
3418,250546,Annabelle,Annabelle,http://annabellemovie.com/,en,"John Form has found the perfect gift for his expectant wife, Mia - a beautiful, rare vintage doll in a pure white wedding dress. But Mia's delight with Annabelle doesn't last long. On one horrific night, their home is invaded by members of a satanic cult, who violently attack the couple. Spilled blood and terror are not all they leave behind. The cultists have conjured an entity so malevolent that nothing they did will compare to the sinister conduit to the damned that is now... Annabelle.","Before the Conjuring, there was Annabelle.",60.225219,2014/10/2,99,Released,1517,5.6,6500000,255273813
644,9350,Cliffhanger,Cliffhanger,,en,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",The height of adventure.,26.19909,1993/5/28,112,Released,588,6.1,70000000,255000211
3696,712,Four Weddings and a Funeral,Four Weddings and a Funeral,http://workingtitlefilms.com/film.php?filmID=59,en,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,Five good reasons to stay single.,29.834065,1994/3/9,117,Released,632,6.6,6000000,254700832
427,45243,The Hangover Part II,The Hangover Part II,http://hangoverpart2.warnerbros.com/,en,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",The Wolfpack Is Back,58.040149,2011/5/25,102,Released,3739,6.2,80000000,254455986
1570,9598,Babe,Babe,,en,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",A little pig goes a long way.,34.36645,1995/7/18,89,Released,733,6,30000000,254134910
691,11199,Wild Hogs,Wild Hogs,http://video.movies.go.com/wildhogs/,en,"Restless and ready for adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos.",A lot can happen on the road to nowhere.,31.719463,2007/3/2,100,Released,648,5.6,0,253625427
1365,44264,True Grit,True Grit,http://www.truegritmovie.com/,en,"Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find, a man with ""true grit,"" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn, whose drinking, sloth, and generally reprobate character do not augment her faith in him. Against his wishes, she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf, who wants Chaney for his own purposes. The unlikely trio find danger and adventure on the journey, and each has his or her ""grit"" tested.",Punishment Comes One Way or Another.,49.292384,2010/12/22,110,Released,1668,7.2,38000000,252276927
1149,168672,American Hustle,American Hustle,http://www.americanhustle-movie.com/,en,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",Everyone Hustles To Survive,49.664128,2013/12/12,138,Released,2807,6.8,40000000,251171807
638,9489,You've Got Mail,You've Got Mail,http://youvegotmail.warnerbros.com,en,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet �?both blissfully unaware that he's putting her out of business.",Someone you pass on the street may already be the love of your life.,28.540267,1998/12/17,119,Released,838,6.3,65000000,250821495
396,9798,Enemy of the State,Enemy of the State,,en,"Hotshot Washington lawyer, Robert Dean becomes a victim of high-tech identity theft when a hacker slips an incriminating video into his pocket. Soon, a rogue National Security agent sets out to recover the tape �?and destroy Dean.",It's not paranoia if they're really after you.,41.207568,1998/11/20,132,Released,1240,6.7,90000000,250649836
640,9342,The Mask of Zorro,The Mask of Zorro,,en,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",No one has seen his face... but everyone ... knows this mark.,31.086791,1998/7/16,136,Released,1183,6.3,95000000,250288523
452,2300,Space Jam,Space Jam,http://www.warnerbros.com/archive/spacejam/movie/jam.htm,en,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",Get ready to jam.,36.125715,1996/11/15,88,Released,1288,6.5,80000000,250200000
292,2486,Eragon,Eragon,http://www.eragonmovie.com/,en,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.","As darkness falls, the last dragon will choose its rider.",30.863434,2006/12/14,104,Released,967,4.9,100000000,249288105
496,109451,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,,en,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",Something big was leftover.,41.247402,2013/9/26,95,Released,915,6.4,78000000,248384621
545,9741,Unbreakable,Unbreakable,,en,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead �?and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",Some things are only revealed by accident.,42.006908,2000/11/13,106,Released,1946,6.9,75000000,248118121
4496,2667,The Blair Witch Project,The Blair Witch Project,http://www.blairwitch.com/,en,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.",The scariest movie of all time is a true story.,41.690578,1999/7/14,81,Released,1055,6.3,60000,248000000
2454,8467,Dumb and Dumber,Dumb and Dumber,,en,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.","What the one doesn't have, the other is missing.",35.777067,1994/12/16,107,Released,1859,6.5,16000000,247275374
436,109418,Grown Ups 2,Grown Ups 2,http://www.sonypictures.com/movies/grownups2,en,"The all-star comedy cast from Grown Ups returns (with some exciting new additions) for more summertime laughs. Lenny (Adam Sandler) has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises: the last day of school.",Just because they're a little older doesn't mean they've grown up.,45.589568,2013/7/11,100,Released,1155,5.8,80000000,246984278
313,227973,The Peanuts Movie,The Peanuts Movie,http://www.peanutsmovie.com/,en,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home.",The story of an underdog. And his dog.,34.308098,2015/11/5,88,Released,604,6.5,99000000,246233113
178,44896,Rango,Rango,http://www.rangomovie.com/,en,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",Heroes come in all different colors.,29.91353,2011/3/2,107,Released,2051,6.6,135000000,245724603
442,754,Face/Off,Face/Off,,en,"An antiterrorism agent goes under the knife to acquire the likeness of a terrorist and gather details about a bombing plot. When the terrorist escapes custody, he undergoes surgery to look like the agent so he can get close to the agent's family.","In order to catch him, he must become him.",46.075037,1997/6/27,138,Released,1583,6.8,80000000,245676146
241,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,http://www.teenagemutantninjaturtlesmovie.com/,en,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",Raise some shell.,39.873791,2016/6/1,112,Released,963,5.8,135000000,245623848
133,62213,Dark Shadows,Dark Shadows,http://darkshadowsmovie.warnerbros.com,en,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,Every Family Has Its Demons,50.306728,2012/5/8,113,Released,2320,5.7,150000000,245527149
165,1927,Hulk,Hulk,,en,"Bruce Banner, a genetics researcher with a tragic past, suffers massive radiation exposure in his laboratory that causes him to transform into a raging green monster when he gets angry.",Unleash the hero within,34.981698,2003/6/19,138,Released,1533,5.3,137000000,245360480
3337,238,The Godfather,The Godfather,http://www.thegodfather.com/,en,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",An offer you can't refuse.,143.659698,1972/3/14,175,Released,5893,8.4,6000000,245066411
1061,508,Love Actually,Love Actually,http://www.loveactually.com/,en,Follows seemingly unrelated people as their lives begin to intertwine while they fall in �?and out �?of love. Affections languish and develop as Christmas draws near.,The ultimate romantic comedy.,37.073127,2003/9/7,135,Released,1869,7,40000000,244931766
1165,196,Back to the Future Part III,Back to the Future Part III,http://www.backtothefuture.com/movies/backtothefuture3,en,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",They've saved the best trip for last... But this time they may have gone too far.,45.769562,1990/5/25,118,Released,2900,7.1,40000000,244527583
689,14306,Marley & Me,Marley & Me,http://marleyandmemovie.com/,en,"A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.",Heel the love.,30.951203,2008/12/25,115,Released,1343,6.9,60000000,244082376
